"name","pop","location"
"Brussels","1019022","https://www.google.com/maps/?q=50.8504,4.34878"
"Antwerpen","459805","https://www.google.com/maps/?q=51.2199,4.40346"
"Gent","231493","https://www.google.com/maps/?q=51.05,3.71667"
"Charleroi","200132","https://www.google.com/maps/?q=50.4114,4.44448"
"Liege","182597","https://www.google.com/maps/?q=50.6337,5.56749"
"Brugge","116709","https://www.google.com/maps/?q=51.2089,3.22424"
"Namur","106284","https://www.google.com/maps/?q=50.4669,4.86746"
"Leuven","92892","https://www.google.com/maps/?q=50.8796,4.70093"
"Mons","91277","https://www.google.com/maps/?q=50.4541,3.95229"
"Deurne","78747","https://www.google.com/maps/?q=51.2213,4.46595"
"Aalst","77534","https://www.google.com/maps/?q=50.936,4.0355"
"Mechelen","77530","https://www.google.com/maps/?q=51.0257,4.47762"
"La Louviere","76668","https://www.google.com/maps/?q=50.4866,4.18785"
"Kortrijk","73879","https://www.google.com/maps/?q=50.828,3.26487"
"Hasselt","69222","https://www.google.com/maps/?q=50.9311,5.33781"
"Ostend","69011","https://www.google.com/maps/?q=51.2155,2.927"
"Sint-Niklaas","69010","https://www.google.com/maps/?q=51.1651,4.1437"
"Tournai","67721","https://www.google.com/maps/?q=50.6072,3.38932"
"Genk","63666","https://www.google.com/maps/?q=50.965,5.50082"
"Seraing","60737","https://www.google.com/maps/?q=50.5836,5.50115"
"Roeselare","56016","https://www.google.com/maps/?q=50.9465,3.12269"
"Verviers","52824","https://www.google.com/maps/?q=50.5891,5.86241"
"Mouscron","52069","https://www.google.com/maps/?q=50.745,3.20639"
"Beveren","45179","https://www.google.com/maps/?q=51.2119,4.25633"
"Dendermonde","43055","https://www.google.com/maps/?q=51.0287,4.10106"
"Beringen","40930","https://www.google.com/maps/?q=51.0495,5.22606"
"Turnhout","39654","https://www.google.com/maps/?q=51.3225,4.94471"
"Dilbeek","39482","https://www.google.com/maps/?q=50.848,4.25972"
"Heist-op-den-Berg","37873","https://www.google.com/maps/?q=51.0754,4.72827"
"Sint-Truiden","37859","https://www.google.com/maps/?q=50.8168,5.18647"
"Lokeren","37567","https://www.google.com/maps/?q=51.1036,3.99339"
"Braine-l'Alleud","37512","https://www.google.com/maps/?q=50.6836,4.36784"
"Brasschaat","37040","https://www.google.com/maps/?q=51.2912,4.49182"
"Vilvoorde","36955","https://www.google.com/maps/?q=50.9281,4.42938"
"Herstal","36503","https://www.google.com/maps/?q=50.6642,5.62346"
"Maasmechelen","36251","https://www.google.com/maps/?q=50.9655,5.69452"
"Waregem","35896","https://www.google.com/maps/?q=50.889,3.42756"
"Chatelet","35238","https://www.google.com/maps/?q=50.4034,4.52826"
"Ieper","35089","https://www.google.com/maps/?q=50.8511,2.88569"
"Ninove","34795","https://www.google.com/maps/?q=50.8278,4.02657"
"Geel","34697","https://www.google.com/maps/?q=51.1656,4.98917"
"Halle","34479","https://www.google.com/maps/?q=50.7338,4.23454"
"Hoboken","34443","https://www.google.com/maps/?q=51.1761,4.34844"
"Knokke-Heist","33781","https://www.google.com/maps/?q=51.35,3.26667"
"Schoten","33622","https://www.google.com/maps/?q=51.2525,4.50268"
"Grimbergen","33561","https://www.google.com/maps/?q=50.9341,4.37213"
"Lier","33272","https://www.google.com/maps/?q=51.1313,4.57041"
"Mol","32659","https://www.google.com/maps/?q=51.1919,5.11662"
"Wavre","32112","https://www.google.com/maps/?q=50.7172,4.60138"
"Binche","32030","https://www.google.com/maps/?q=50.4115,4.16469"
"Lommel","31993","https://www.google.com/maps/?q=51.2307,5.31349"
"Menen","31916","https://www.google.com/maps/?q=50.7972,3.12245"
"Tienen","31743","https://www.google.com/maps/?q=50.8074,4.9378"
"Evergem","31615","https://www.google.com/maps/?q=51.1131,3.70976"
"Heusden","31017","https://www.google.com/maps/?q=51.0366,5.28013"
"Wevelgem","30954","https://www.google.com/maps/?q=50.8,3.16667"
"Geraardsbergen","30807","https://www.google.com/maps/?q=50.7734,3.88223"
"Sint-Pieters-Leeuw","30446","https://www.google.com/maps/?q=50.7793,4.24355"
"Helchteren","30050","https://www.google.com/maps/?q=51.0559,5.38244"
"Houthalen","30050","https://www.google.com/maps/?q=51.0343,5.37429"
"Tongeren","29816","https://www.google.com/maps/?q=50.7805,5.46484"
"Deinze","29815","https://www.google.com/maps/?q=50.9818,3.53096"
"Waterloo","29778","https://www.google.com/maps/?q=50.7147,4.3991"
"Bilzen","29622","https://www.google.com/maps/?q=50.8732,5.5184"
"Louvain-la-Neuve","29521","https://www.google.com/maps/?q=50.6683,4.61443"
"Courcelles","29473","https://www.google.com/maps/?q=50.4638,4.3747"
"Asse","28985","https://www.google.com/maps/?q=50.9101,4.19836"
"Zaventem","28188","https://www.google.com/maps/?q=50.8837,4.47298"
"Oudenaarde","27935","https://www.google.com/maps/?q=50.8517,3.60891"
"Aarschot","27656","https://www.google.com/maps/?q=50.9871,4.83695"
"Ans","27297","https://www.google.com/maps/?q=50.6623,5.52029"
"Ath","26681","https://www.google.com/maps/?q=50.6294,3.77801"
"Kapellen","26410","https://www.google.com/maps/?q=51.3138,4.43539"
"Izegem","26382","https://www.google.com/maps/?q=50.914,3.21378"
"Arlon","26179","https://www.google.com/maps/?q=49.6833,5.81667"
"Temse","26054","https://www.google.com/maps/?q=51.1279,4.21372"
"Harelbeke","25978","https://www.google.com/maps/?q=50.8534,3.30935"
"Herentals","25912","https://www.google.com/maps/?q=51.1766,4.83248"
"Brecht","25908","https://www.google.com/maps/?q=51.3502,4.63829"
"Flemalle-Haute","25144","https://www.google.com/maps/?q=50.5999,5.44471"
"Soignies","24869","https://www.google.com/maps/?q=50.579,4.07129"
"Lanaken","24771","https://www.google.com/maps/?q=50.8932,5.6468"
"Mortsel","24525","https://www.google.com/maps/?q=51.167,4.45127"
"Zottegem","24434","https://www.google.com/maps/?q=50.8695,3.81052"
"Ronse","24204","https://www.google.com/maps/?q=50.7457,3.6005"
"Nivelles","24149","https://www.google.com/maps/?q=50.5983,4.32848"
"Andenne","24055","https://www.google.com/maps/?q=50.4894,5.09513"
"Maaseik","23684","https://www.google.com/maps/?q=51.098,5.78379"
"Oupeye","23594","https://www.google.com/maps/?q=50.7118,5.6468"
"Overijse","23486","https://www.google.com/maps/?q=50.7744,4.53461"
"Zwevegem","23358","https://www.google.com/maps/?q=50.8127,3.33848"
"Beersel","23228","https://www.google.com/maps/?q=50.7659,4.3002"
"Wetteren","22930","https://www.google.com/maps/?q=51.0053,3.88341"
"Hamme","22891","https://www.google.com/maps/?q=51.0982,4.13705"
