"name","pop","location"
"Warsaw","1702139","https://www.google.com/maps/?q=52.2298,21.0118"
"Lodz","768755","https://www.google.com/maps/?q=51.7706,19.4739"
"Krakow","755050","https://www.google.com/maps/?q=50.0614,19.9366"
"Wroclaw","634893","https://www.google.com/maps/?q=51.1,17.0333"
"Poznan","570352","https://www.google.com/maps/?q=52.4069,16.9299"
"Gdansk","461865","https://www.google.com/maps/?q=54.3521,18.6464"
"Szczecin","407811","https://www.google.com/maps/?q=53.4289,14.553"
"Bydgoszcz","366452","https://www.google.com/maps/?q=53.1235,18.0076"
"Lublin","360044","https://www.google.com/maps/?q=51.25,22.5667"
"Katowice","317316","https://www.google.com/maps/?q=50.2584,19.0275"
"Bialystok","291855","https://www.google.com/maps/?q=53.1333,23.1643"
"Gdynia","253730","https://www.google.com/maps/?q=54.5189,18.5319"
"Czestochowa","248125","https://www.google.com/maps/?q=50.7965,19.1241"
"Sosnowiec","227295","https://www.google.com/maps/?q=50.2868,19.1038"
"Radom","226794","https://www.google.com/maps/?q=51.4025,21.1471"
"Mokotow","212670","https://www.google.com/maps/?q=52.1934,21.0349"
"Torun","208717","https://www.google.com/maps/?q=53.0137,18.5981"
"Kielce","208598","https://www.google.com/maps/?q=50.8703,20.6275"
"Gliwice","198835","https://www.google.com/maps/?q=50.2976,18.6766"
"Zabrze","192177","https://www.google.com/maps/?q=50.3249,18.7858"
"Bytom","189186","https://www.google.com/maps/?q=50.348,18.9328"
"Praga Poludnie","187845","https://www.google.com/maps/?q=52.2442,21.0854"
"Bielsko-Biala","176515","https://www.google.com/maps/?q=49.8224,19.0469"
"Olsztyn","171803","https://www.google.com/maps/?q=53.7799,20.4942"
"Rzeszow","158382","https://www.google.com/maps/?q=50.0413,21.999"
"Ursynow","147676","https://www.google.com/maps/?q=52.1505,21.0504"
"Ruda Slaska","146189","https://www.google.com/maps/?q=50.2584,18.8563"
"Wola","143996","https://www.google.com/maps/?q=52.2401,20.9887"
"Rybnik","142510","https://www.google.com/maps/?q=50.0971,18.5418"
"Bielany","134854","https://www.google.com/maps/?q=52.2924,20.9353"
"Srodmiescie","134306","https://www.google.com/maps/?q=52.229,21.0164"
"Dabrowa Gornicza","130601","https://www.google.com/maps/?q=50.3339,19.2048"
"Tychy","130000","https://www.google.com/maps/?q=50.1372,18.9664"
"Opole","127676","https://www.google.com/maps/?q=50.6721,17.9253"
"Elblag","127558","https://www.google.com/maps/?q=54.1522,19.4088"
"Plock","127474","https://www.google.com/maps/?q=52.5468,19.7064"
"Walbrzych","127431","https://www.google.com/maps/?q=50.7714,16.2843"
"Gorzow Wielkopolski","124430","https://www.google.com/maps/?q=52.7368,15.2288"
"Targowek","124316","https://www.google.com/maps/?q=52.2919,21.0485"
"Wloclawek","120339","https://www.google.com/maps/?q=52.6482,19.0678"
"Zielona Gora","118433","https://www.google.com/maps/?q=51.9355,15.5064"
"Tarnow","117799","https://www.google.com/maps/?q=50.0138,20.987"
"Chorzow","113430","https://www.google.com/maps/?q=50.3058,18.9742"
"Kalisz","108759","https://www.google.com/maps/?q=51.7611,18.091"
"Koszalin","107450","https://www.google.com/maps/?q=54.1944,16.1722"
"Legnica","106033","https://www.google.com/maps/?q=51.2101,16.1619"
"Bemowo","102393","https://www.google.com/maps/?q=52.2546,20.9084"
"Grudziadz","99486","https://www.google.com/maps/?q=53.4841,18.7537"
"Slupsk","98608","https://www.google.com/maps/?q=54.4641,17.0287"
"Jaworzno","96541","https://www.google.com/maps/?q=50.2053,19.275"
"Jastrzebie Zdroj","95813","https://www.google.com/maps/?q=49.9554,18.5748"
"Praga Polnoc","93192","https://www.google.com/maps/?q=52.2544,21.0347"
"Ochota","93192","https://www.google.com/maps/?q=52.221,20.9853"
"Bialoleka","89324","https://www.google.com/maps/?q=52.3213,20.972"
"Jelenia Gora","87310","https://www.google.com/maps/?q=50.8997,15.729"
"Nowy Sacz","84376","https://www.google.com/maps/?q=49.6218,20.6971"
"Konin","81258","https://www.google.com/maps/?q=52.2234,18.2512"
"Piotrkow Trybunalski","80128","https://www.google.com/maps/?q=51.4055,19.7032"
"Inowroclaw","77597","https://www.google.com/maps/?q=52.7989,18.2639"
"Lubin","77532","https://www.google.com/maps/?q=51.4009,16.2015"
"Siedlce","77185","https://www.google.com/maps/?q=52.1677,22.2901"
"Pila","75532","https://www.google.com/maps/?q=53.1515,16.7378"
"Myslowice","75281","https://www.google.com/maps/?q=50.2075,19.1667"
"Ostrowiec Swietokrzyski","73989","https://www.google.com/maps/?q=50.9294,21.3853"
